Genomic locus      	RRC Startpoint rate      	RRC Midpoint rate      	RRC Endpoint rate      	Comeron Startpoint rate      	Comeron Midpoint rate      	Comeron Endpoint rate
3L:16400000..16500000      	1.29      	1.27      	1.25      	1.52      	3.32      	3.32
3L:16500000..16600000      	1.25      	1.23      	1.21      	3.32      	2.15      	2.15
3L:16600000..16700000      	1.21      	1.19      	1.17      	2.15      	0.90      	0.90
3L:16700000..16800000      	1.17      	1.15      	1.13      	0.90      	1.18      	1.18
3L:16800000..16900000      	1.13      	1.11      	1.09      	1.18      	1.45      	1.45
3L:16900000..17000000      	1.09      	1.07      	1.05      	1.45      	0.76      	0.76
3L:17000000..17100000      	1.05      	1.02      	1.00      	0.76      	1.45      	1.45
3L:17100000..17200000      	1.00      	0.98      	0.96      	1.45      	3.60      	3.60
3L:17200000..17300000      	0.96      	0.94      	0.92      	3.60      	3.32      	3.32
3L:17300000..17400000      	0.92      	0.90      	0.88      	3.32      	1.87      	1.87
3L:17400000..17500000      	0.88      	0.86      	0.83      	1.87      	1.59      	1.59
3L:17500000..17600000      	0.83      	0.81      	0.79      	1.59      	2.15      	2.15
3L:17600000..17700000      	0.79      	0.77      	0.75      	2.15      	1.32      	1.32
3L:17700000..17800000      	0.75      	0.73      	0.70      	1.32      	0.28      	0.28
3L:17800000..17900000      	0.70      	0.68      	0.66      	0.28      	0.14      	0.14
3L:17900000..18000000      	0.66      	0.64      	0.61      	0.14      	1.32      	1.32
3L:18000000..18100000      	0.61      	0.59      	0.57      	1.32      	0.69      	0.69
3L:18100000..18200000      	0.57      	0.55      	0.52      	0.69      	1.80      	1.80
3L:18200000..18300000      	0.52      	0.50      	0.48      	1.80      	0.83      	0.83
3L:18300000..18400000      	0.48      	0.45      	0.43      	0.83      	0.07      	0.07
3L:18400000..18500000      	0.43      	0.41      	0.38      	0.07      	0.14      	0.14
3L:18500000..18600000      	0.38      	0.36      	0.34      	0.14      	1.32      	1.32
3L:18600000..18700000      	0.34      	0.31      	0.29      	1.32      	0.48      	0.48
3L:18700000..18800000      	0.29      	0.27      	0.24      	0.48      	0.69      	0.69
3L:18800000..18900000      	0.24      	0.22      	0.19      	0.69      	1.04      	1.04
3L:18900000..19000000      	0.19      	0.17      	0.15      	1.04      	2.15      	2.15
3L:19000000..19100000      	0.15      	0.00      	0.00      	2.15      	0.90      	0.90
3L:19100000..19200000      	0.00      	0.00      	0.00      	0.90      	0.83      	0.83
3L:19200000..19300000      	0.00      	0.00      	0.00      	0.83      	0.69      	0.69
3L:19300000..19400000      	0.00      	0.00      	0.00      	0.69      	0.48      	0.48
3L:19400000..19500000      	0.00      	0.00      	0.00      	0.48      	2.77      	2.77
3L:19500000..19600000      	0.00      	0.00      	0.00      	2.77      	0.42      	0.42
3L:19600000..19700000      	0.00      	0.00      	0.00      	0.42      	2.35      	2.35
3L:19700000..19800000      	0.00      	0.00      	0.00      	2.35      	0.42      	0.42
3L:19800000..19900000      	0.00      	0.00      	0.00      	0.42      	0.42      	0.42
3L:19900000..20000000      	0.00      	0.00      	0.00      	0.42      	2.98      	2.98
3L:20000000..20100000      	0.00      	0.00      	0.00      	2.98      	0.21      	0.21
3L:20100000..20200000      	0.00      	0.00      	0.00      	0.21      	0.14      	0.14
3L:20200000..20300000      	0.00      	0.00      	0.00      	0.14      	0.00      	0.00
3L:20300000..20400000      	0.00      	0.00      	0.00      	0.00      	1.38      	1.38
3L:20400000..20500000      	0.00      	0.00      	0.00      	1.38      	0.14      	0.14
3L:20500000..20600000      	0.00      	0.00      	0.00      	0.14      	0.42      	0.42
3L:20600000..20700000      	0.00      	0.00      	0.00      	0.42      	0.35      	0.35
3L:20700000..20800000      	0.00      	0.00      	0.00      	0.35      	0.00      	0.00
3L:20800000..20900000      	0.00      	0.00      	0.00      	0.00      	0.21      	0.21
3L:20900000..21000000      	0.00      	0.00      	0.00      	0.21      	0.14      	0.14
3L:21000000..21100000      	0.00      	0.00      	0.00      	0.14      	0.28      	0.28
3L:21100000..21200000      	0.00      	0.00      	0.00      	0.28      	0.07      	0.07
3L:21200000..21300000      	0.00      	0.00      	0.00      	0.07      	0.07      	0.07
3L:21300000..21400000      	0.00      	0.00      	0.00      	0.07      	0.14      	0.14
3L:21400000..21500000      	0.00      	0.00      	0.00      	0.14      	0.07      	0.07
3L:21500000..21600000      	0.00      	0.00      	0.00      	0.07      	0.00      	0.00
3L:21600000..21700000      	0.00      	0.00      	0.00      	0.00      	0.35      	0.35
3L:21700000..21800000      	0.00      	0.00      	0.00      	0.35      	1.18      	1.18
3L:21800000..21900000      	0.00      	0.00      	0.00      	1.18      	0.00      	0.00
3L:21900000..22000000      	0.00      	0.00      	0.00      	0.00      	0.14      	0.14
3L:22000000..22100000      	0.00      	0.00      	0.00      	0.14      	0.00      	0.00
3L:22100000..22200000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3L:22200000..22300000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3L:22300000..22400000      	0.00      	0.00      	0.00      	0.00      	0.14      	0.14
3L:22400000..22500000      	0.00      	0.00      	0.00      	0.14      	0.07      	0.07
3L:22500000..22600000      	0.00      	0.00      	0.00      	0.07      	0.00      	0.00
3L:22600000..22700000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3L:22700000..22800000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3L:22800000..22900000      	0.00      	0.00      	0.00      	0.00      	0.07      	0.07
3L:22900000..23000000      	0.00      	0.00      	0.00      	0.07      	0.28      	0.28
3L:23000000..23100000      	0.00      	0.00      	0.00      	0.28      	0.00      	0.00
3L:23100000..23200000      	0.00      	0.00      	0.00      	0.00      	0.07      	0.07
3L:23200000..23300000      	0.00      	0.00      	0.00      	0.07      	0.00      	0.00
3L:23300000..23400000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3L:23400000..23500000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3L:23500000..23600000      	0.00      	0.00      	0.00      	0.00      	0.07      	0.07
3L:23600000..23700000      	0.00      	0.00      	0.00      	0.07      	0.00      	0.00
3L:23700000..23800000      	0.00      	0.00      	0.00      	0.00      	0.07      	0.07
3L:23800000..23900000      	0.00      	0.00      	0.00      	0.07      	0.14      	0.14
3L:23900000..24000000      	0.00      	0.00      	0.00      	0.14      	0.00      	0.00
3L:24000000..24100000      	0.00      	0.00      	0.00      	0.00      	0.07      	0.07
3L:24100000..24200000      	0.00      	0.00      	0.00      	0.07      	0.00      	0.00
3L:24200000..24300000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3L:24300000..24400000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3L:24400000..24500000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
